Instagram name, Name,Subscribers,Audience country,"Authentic engagement
","Engagement average
",Category_1,Category_2,subs_tier,engagement_rate
cristiano,Cristiano Ronaldo,477900000.0,India,5000000.0,6200000.0,Sports with a ball,,Celebrity,1.2973425402803933
kyliejenner,Kylie 🤍,368100000.0,United States,3500000.0,5500000.0,Fashion,Modeling,Celebrity,1.4941591958706872
arianagrande,Ariana Grande,329600000.0,United States,2900000.0,4000000.0,,,Celebrity,1.2135922330097086
leomessi,Leo Messi,358600000.0,Indonesia,2700000.0,3500000.0,Sports with a ball,Family,Celebrity,0.9760178471834914
zendaya,Zendaya,151100000.0,United States,4300000.0,5800000.0,Cinema & Actors/actresses,Fashion,Celebrity,3.8385175380542687
selenagomez,Selena Gomez,344200000.0,United States,1800000.0,2400000.0,Lifestyle,,Celebrity,0.6972690296339338
taylorswift,Taylor Swift,223500000.0,Brazil,2500000.0,3300000.0,,,Celebrity,1.476510067114094
thv,V,50800000.0,South Korea,12700000.0,12700000.0,,,Celebrity,25.0
virat.kohli,Virat Kohli,212600000.0,India,2600000.0,2900000.0,Sports with a ball,,Celebrity,1.3640639698965193
beyonce,Beyoncé,274100000.0,United States,1500000.0,2100000.0,Fashion,,Celebrity,0.7661437431594309
kimkardashian,Kim Kardashian,329800000.0,United States,1200000.0,1600000.0,Fashion,Beauty,Celebrity,0.4851425106124924
tomholland2013,Tom Holland,68000000.0,United States,6300000.0,7700000.0,Cinema & Actors/actresses,,Celebrity,11.323529411764707
j.m,JIMIN,43500000.0,South Korea,11600000.0,11600000.0,,,Celebrity,26.666666666666668
billieeilish,BILLIE EILISH,106200000.0,United States,3500000.0,4600000.0,,,Celebrity,4.3314500941619585
lalalalisa_m,LISA,81700000.0,Indonesia,5000000.0,5800000.0,,,Celebrity,7.099143206854345
justinbieber,Justin Bieber,256300000.0,Brazil,1300000.0,1800000.0,,,Celebrity,0.702301989855638
neymarjr,NJ 🇧🇷,178100000.0,Brazil,1500000.0,2200000.0,Sports with a ball,,Celebrity,1.235261089275688
agustd,SUGA of BTS 민윤기,38300000.0,South Korea,9900000.0,9900000.0,Lifestyle,,Celebrity,25.848563968668408
sooyaaa__,JISOO🤍,63800000.0,Indonesia,4900000.0,5600000.0,Beauty,,Celebrity,8.77742946708464
jin,Jin of BTS,39500000.0,United States,8800000.0,8800000.0,,,Celebrity,22.27848101265823
kendalljenner,Kendall,255400000.0,United States,852000.0,1300000.0,Modeling,Fashion,Celebrity,0.5090054815974941
karolg,KAROL G,56200000.0,Mexico,5000000.0,6100000.0,,,Celebrity,10.854092526690392
kourtneykardash,Kourtney Kardashian Barker,196400000.0,United States,1200000.0,1700000.0,Lifestyle,,Celebrity,0.8655804480651731
khaby00,Khaby Lame,79300000.0,India,2800000.0,3900000.0,Sports with a ball,,Celebrity,4.918032786885246
uarmyhope,jhope,39400000.0,South Korea,7800000.0,7800000.0,,,Celebrity,19.79695431472081
jennierubyjane,J,69800000.0,Indonesia,3700000.0,4400000.0,,,Celebrity,6.303724928366762
roses_are_rosie,ROSÉ,62700000.0,Indonesia,3700000.0,4300000.0,,,Celebrity,6.8580542264752795
badbunnypr,,42800000.0,United States,3600000.0,5600000.0,,,Celebrity,13.08411214953271
milliebobbybrown,Millie Bobby Brown,58400000.0,Brazil,3100000.0,4000000.0,Cinema & Actors/actresses,,Celebrity,6.8493150684931505
